Common name	Scientific name	Home range	status
Lowland Anoa	Bubalus depressicornis	Indonesia	E
Pink Fairy Armadillo	Chlamyphorus truncatus	Argentina	E
Mountain Anoa	Bubalus quarlesi	Indonesia	E
Giant Sable Antelope	Hippotragus niger variani	Angola	E
Giant Sable Antelope	Hippotragus niger variani	Angola	E
Giant Sable Antelope	Hippotragus niger variani	Angola	E
Argali	Ovis ammon	Eurasia	E
Giant Armadillo	Priodontes maximus	South America	E
Pink Fairy Armadillo	Chlamyphorus truncatus	Argentina	E
African Wild Ass	Equus africanus	Somalia, Sudan, Ethiopia	E
Pudú	Pudu pudu	Southern South America	E
Eastern Cougar	Puma concolor couguar	Eastern North America	E
Aye-aye	Daubentonia madagascariensis	Malagasy Republic (Madagascar)	E
Babirusa	Babyrousa babyrussa	Indonesia	E
Gelada	Theropithecus gelada	Ethiopia	T
Western Barred Bandicoot	Perameles bougainville	Australia	E
Desert Bandicoot	Perameles eremiana	Australia	E
Avahi (Woolly lemur)	Avahi sp.	Malagasy Republic (Madagascar)	E
Lesser Rabbit Bandicoot (Lesser Bilby)	Macrotis leucura	Australia	E
Pig-footed Bandicoot	Chaeropus ecaudatus	Australia	E
Mexican long-nosed bat (Saussure's long-nosed bat)	Leptonycteris nivalis	U.S. (NM, TX), Mexico, Central America	E
Banteng	Bos javanicus	Southeast Asia	E
Bulmer's fruit bat (flying fox)	Aproteles bulmerae	Papua New Guinea	E
Bumblebee Bat	Craseonycteris thonglongyai	Thailand	E
Gray Bat	Myotis grisescens	Central and southeastern U.S.	E
Hawaiian Hoary Bat	Lasiurus cinereus semotus	U.S. (HI)	E
Indiana bat	Myotis sodalis	Eastern and Midwestern U.S.	E
Lesser Long-nosed Bat	Leptonycteris curasoae yerbabuenae	U.S. (AZ, NM), Mexico, Central America	E
Little Mariana fruit bat	Pteropus tokudae	Western Pacific Ocean, U.S. (Guam)	E
Mariana Fruit Bat (Mariana flying fox)	Pteropus mariannus	Western Pacific Ocean, U.S. (GU, MP)	T
Mexican long-nosed bat (Saussure's long-nosed bat)	Leptonycteris nivalis	U.S. (NM, TX), Mexico, Central America	E
Ozark Big-Eared Bat	Corynorhinus (Plecotus) townsendii ingens	U.S. (MO, OK, AR)	E
Rodrigues Fruit Bat (Flying Fox)	Pteropus rodricensis	Indian Ocean, Rodrigues Island	E
Singapore Roundleaf Horseshoe Bat	Hipposideros ridleyi	Malaysia	E
Virginia big-eared bat	Corynorhinus (Plecotus) townsendii virginianus	U.S. (KS, FL, TX, OK)	E
American Black Bear	Ursus americanus	North America	T(S/A)
Baluchistan Bear	Ursus thibetanus gedrosianus	Iran, Pakistan	E
Brown Bear	Ursus arctos arctos	Palearctic	E
Blue Bear	Ursus arctos pruinosus	China (Tibet)	E
Grizzly bear	Ursus arctos horribilis	Holarctic	T
Louisiana Black Bear	Ursus americanus luteolus	U.S. (LA-all parishes; MS-all counties south of or touching a line from Greenville, Washington County, to Meridian, Lauderdale County; TX-all counties east of or touching a line from Linden, Cass County, SW to Bryan, Brazos County, thence SSW to Rockport, Aransas County)	T
Mexican Grizzly Bear	Ursus arctos	Holarctic	E
Beaver	Castor fiber birulai	Mongolia	E
Wood Bison	Bison bison athabascae	Canada, northwestern U.S.A	E
Mexican Bobcat	Lynx rufus escuinapae	Central Mexico	E
Bontebok	Damaliscus pygarus (dorcas) dorcas	South Africa	E
Bactrian Camel	Camelus bactrianus	Mongolia, China	E
Woodland Caribou (Reindeer)	Rangifer tarandus caribou	U.S. (AK, ID, ME, MI, MN, MT, NH, VT, WA, WI), Canada	E
Rodrigues Fruit Bat (Flying Fox)	Pteropus rodricensis	Indian Ocean, Rodrigues Island	E
Singapore Roundleaf Horseshoe Bat	Hipposideros ridleyi	Malaysia	E
Virginia big-eared bat	Corynorhinus (Plecotus) townsendii virginianus	U.S. (KS, FL, TX, OK)	E
American Black Bear	Ursus americanus	North America	T(S/A)
Iriomote Cat	Prionailurus iriomotensis	Japan (Iriomote Island, Ryukyu Islands)	E
Leopard Cat	Prionailurus bengalensis	India, Southeast Asia	E
Marbled Cat	Pardofelis marmorata	Nepal, Southeast Asia, Indonesia	E
Pakistan Sand Cat	Felis margarita scheffeli	Pakistan	E
